Category,snafu_animal,in_vocab,Item,levenstein_distance
Fish,gar,TRUE,gar,0
Fish,goby,TRUE,goby,0
Fish,goldfish,TRUE,goldfish,0
Feline,bengaltiger,FALSE,bengal tiger,1
Fish,grenadier,TRUE,grenadier,0
Fish,grouper,TRUE,grouper,0
Fish,grunt,TRUE,grunt,0
Fish,guppy,TRUE,guppy,0
Fish,haddock,TRUE,haddock,0
Fish,hagfish,TRUE,hagfish,0
Fish,halibut,TRUE,halibut,0
Feline,blackpanther,FALSE,black panther,1
Fish,herring,TRUE,herring,0
Feline,manx,FALSE,man,1
Fish,jack,TRUE,jack,0
Fish,jewfish,TRUE,jewfish,0
Fish,koi,TRUE,koi,0
Fish,lamprey,TRUE,lamprey,0
Feline,mountainlion,FALSE,mountain lion,1
Feline,ragdollcat,FALSE,ragdoll cat,1
Fish,lionfish,TRUE,lionfish,0
Fish,mackerel,TRUE,mackerel,0
Fish,mahimahi,TRUE,mahimahi,0
Feline,ringtailcat,FALSE,ringtail cat,1
Fish,marlin,TRUE,marlin,0
Fish,megalodon,TRUE,megalodon,0
Fish,milkfish,TRUE,milkfish,0
Fish,minnow,TRUE,minnow,0
Fish,mudskipper,TRUE,mudskipper,0
Fish,mullet,TRUE,mullet,0
Feline,sabertoothedtiger,FALSE,sabertoothed tiger,1
Feline,sandcat,FALSE,sand cat,1
Fish,parrotfish,TRUE,parrotfish,0
Fish,perch,TRUE,perch,0
Fish,pickerel,TRUE,pickerel,0
Fish,pike,TRUE,pike,0
Feline,scottishfold,FALSE,scottish fold,1
Fish,piranha,TRUE,piranha,0
Fish,prawn,TRUE,prawn,0
Fish,pufferfish,TRUE,pufferfish,0
Fish,rainbowfish,TRUE,rainbowfish,0
Feline,siamesecat,FALSE,siamese cat,1
Fish,rockhead,TRUE,rockhead,0
Fish,sailfish,TRUE,sailfish,0
Fish,salmon,TRUE,salmon,0
Feline,siberiantiger,FALSE,siberian tiger,1
Feline,snow,FALSE,sow,1
Fish,sardine,TRUE,sardine,0
Fish,sculpin,TRUE,sculpin,0
Feline,snowleopard,FALSE,snow leopard,1
Fish,shad,TRUE,shad,0
Fish,shark,TRUE,shark,0
Fish,shrimp,TRUE,shrimp,0
Feline,whitetiger,FALSE,white tiger,1
Fish,smelt,TRUE,smelt,0
Fish,snapper,TRUE,snapper,0
Fish,spadefish,TRUE,spadefish,0
Fish,arrowheadshark,FALSE,arrowhead shark,1
Fish,bettafish,FALSE,betta fish,1
Fish,stickleback,TRUE,stickleback,0
Fish,stonefish,TRUE,stonefish,0
Fish,sturgeon,TRUE,sturgeon,0
Fish,sunfish,TRUE,sunfish,0
Fish,surgeonfish,TRUE,surgeonfish,0
Fish,swordfish,TRUE,swordfish,0
Fish,blueshark,FALSE,blue shark,1
Fish,tilapia,TRUE,tilapia,0
Fish,trout,TRUE,trout,0
Fish,tuna,TRUE,tuna,0
Fish,walleye,TRUE,walleye,0
Fish,whale,TRUE,whale,0
Fish,bullshark,FALSE,bull shark,1
Fish,whitefish,TRUE,whitefish,0
Insectivores,aardvark,TRUE,aardvark,0
Insectivores,anteater,TRUE,anteater,0
Insectivores,armadillo,TRUE,armadillo,0
Insectivores,bat,TRUE,bat,0
Insectivores,echidna,TRUE,echidna,0
Insectivores,hedgehog,TRUE,hedgehog,0
Insectivores,mole,TRUE,mole,0
Insectivores,pangolin,TRUE,pangolin,0
Insectivores,shrew,TRUE,shrew,0
Fish,flyingfish,FALSE,flying fish,1
Insects,ant,TRUE,ant,0
Insects,antlion,TRUE,antlion,0
Insects,aphid,TRUE,aphid,0
Fish,foureyebutterflyfish,FALSE,foureye butterflyfish,1
Insects,bedbug,TRUE,bedbug,0
Insects,bee,TRUE,bee,0
Insects,beetle,TRUE,beetle,0
Insects,bessbug,TRUE,bessbug,0
Fish,freshwaterfish,FALSE,freshwater fish,1
Fish,hammerheadshark,FALSE,hammerhead shark,1
Insects,bug,TRUE,bug,0
Insects,bumblebee,TRUE,bumblebee,0
